constituency,ward,polling_station
BURA,BANGALE,BANGALE PRIMARY SCHOOL
BURA,BANGALE,MITI BOMA CENTRE - MOBILE
BURA,BANGALE,TULA PRIMARY SCHOOL
BURA,BANGALE,EL RAR PRIMARY SCHOOL
BURA,BANGALE,KAMAGURU PRIMARY SCHOOL
BURA,BANGALE,BOKA PRIMARY SCHOOL
BURA,BANGALE,YAQRIT CENTRE
BURA,BANGALE,BASAHARGESA NURSERY SCHOOL
BURA,BANGALE,BULTOBANTA VILLAGE
BURA,BANGALE,KURITI PRIMARY SCHOOL
BURA,BANGALE,BANGALE SECONDARY SCHOOL
BURA,BANGALE,LABILE PRIMARY SCHOOL
GALOLE,CHEWANI,FOREST TRAINING SCHOOL
GALOLE,CHEWANI,KIARUKUNGU PRIMARY SCHOOL
GALOLE,CHEWANI,BAHATI PRIMARY SCHOOL
GALOLE,CHEWANI,CHEWANI PRIMARY SCHOOL
GALOLE,CHEWANI,RIABAI VILLAGE CENTRE
GALOLE,CHEWANI,DAKU PRIMARY SCHOOL
GALOLE,CHEWANI,KUMBI PRIMARY SCHOOL
GALOLE,CHEWANI,RHOKA PRIMARY SCHOOL
GALOLE,CHEWANI,HANASA VILLAGE CENTRE
GALOLE,CHEWANI,MAKERE PRIMARY SCHOOL
GALOLE,CHEWANI,OVO PRI SCHOOL
GALOLE,CHEWANI,LAINI PRIMARY SCHOOL
GALOLE,CHEWANI,BOHONI PRIMARY SCHOOL
GALOLE,CHEWANI,GHALAMANI PRIMARY SCHOOL
GALOLE,CHEWANI,NYANGWANI PR.SCH
GALOLE,CHEWANI,RAFIKI PRIMARY SCHOOL
GALOLE,CHEWANI,MAU MAU SECONDARY SCHOOL
GALOLE,CHEWANI,HOLA SECONDARY SCHOOL
GALOLE,CHEWANI,LAZA PRIMARY SCHOOL
GALOLE,CHEWANI,HOLA SCHOOL FOR MENTALLY HANDCAPPED
GALOLE,CHEWANI,HOLA PRIMARY SCHOOL
GALOLE,CHEWANI,WACHA KONE PRIMARY SCHOOL
GALOLE,CHEWANI,LAZA NURSERY SCHOOL
GALOLE,CHEWANI,BULA SECONDARY ECD
BURA,CHEWELE,CHEWELE PRIMARY SCHOOL
BURA,CHEWELE,SHIKA ADABU PRIMARY SCHOOL
BURA,CHEWELE,BILBIL PRIMARY SCHOOL
BURA,CHEWELE,GHAMANO PRIMARY SCHOOL
BURA,CHEWELE,NANIGHI PRIMARY SCHOOL
BURA,CHEWELE,JAJABO PRIMARY SCHOOL
BURA,CHEWELE,BAWAMA NURSERY
BURA,CHEWELE,SUBO PRIMARY SCHOOL
BURA,CHEWELE,DUKANOTU PRIMARY SCHOOL
BURA,CHEWELE,WEKOYE PRIMARY SCHOOL
BURA,CHEWELE,GELMAD CENTRE - MOBILE
BURA,CHEWELE,WADESA PRIMARY SCHOOL
BURA,CHEWELE,NGOMENI NURSERY SCHOOL
BURA,CHEWELE,TUNE PRIMARY SCHOOL
BURA,CHEWELE,SHABAHA NURSERY SCHOOL
BURA,CHEWELE,JARIBU MOBILE
BURA,CHEWELE,GUYO VILLAGE
BURA,CHEWELE,MATAGALA PRIMARY SCHOOL
BURA,CHEWELE,KOMOR DUKUB - MOBILE
BURA,CHEWELE,DARIME PRIMARY SCHOOL
BURA,CHEWELE,CHARIDENDE PRIMARY SCHOOL
GARSEN,GARSEN CENTRAL,IMANI  PRIMARY SCHOOL
GARSEN,GARSEN CENTRAL,DUMI NURSERY SCHOOL
GARSEN,GARSEN CENTRAL,GAMBA  PRIMARY SCHOOL
